"구역","총가동","가동일","가동률","평균온도","제어기","차트제어기","일평균","26도이하","판정","조치"
"국민체육센터","2579.17","31","100.0","23.83","29","29","2.87","0","risk","월 누적 가동시간이 가장 높아 층별 운영시간과 종료 스케줄을 우선 점검"
"DB숙소","795.33","31","100.0","25.42","28","28","0.92","0","warn","식당 조리실 중심으로 가동이 집중되어 조리 종료 후 자동 OFF와 야간 운전 기준 확인"
"종합운동장","567.67","24","77.42","22.63","11","11","1.66","0","warn","가동일은 24일이나 누적 가동시간이 높아 행사일과 비행사일 스케줄 분리 운영"
"종합체육관","415.5","31","100.0","22.63","8","8","1.68","0","warn","31일 연속 가동되었으나 누적 총량은 중간 수준으로 장시간 운전일 중심 점검"
"치악체육관","155.5","21","67.74","20.91","4","4","1.25","0","warn","평균온도가 낮은 편이므로 행사일 외 냉방 기준과 설정온도 보정 여부 점검"
